timestamp,from_id,to_id,range,std
1785983400.85,9,2,4.243856430053711,0.1
1785983400.85,9,3,5.847072124481201,0.1
1785983400.86,8,0,4.646326065063477,0.1
1785983400.86,8,1,2.88942289352417,0.1
1785983400.86,8,2,4.021601676940918,0.1
1785983400.86,8,3,5.435817718505859,0.1
1785983400.86,9,0,4.604579925537109,0.1
1785983400.86,9,1,2.5496771335601807,0.1
1785983400.86,9,2,4.254856109619141,0.1
1785983400.86,9,3,5.886072158813477,0.1
1785983400.87,8,0,4.653326034545898,0.1
1785983400.87,8,1,2.894422769546509,0.1
1785983400.87,8,2,4.007601737976074,0.1
1785983400.87,8,3,5.472817420959473,0.1
1785983400.87,9,0,4.6025800704956055,0.1
1785983400.87,9,1,2.581677198410034,0.1
1785983400.87,9,2,4.238856315612793,0.1
1785983400.87,9,3,5.883072376251221,0.1
1785983400.88,8,0,4.641325950622559,0.1
1785983400.88,8,1,2.8504228591918945,0.1
1785983400.88,8,2,3.9826018810272217,0.1
1785983400.88,8,3,5.470817565917969,0.1
1785983400.88,9,0,4.651579856872559,0.1
1785983400.88,9,1,2.5146772861480713,0.1
1785983400.88,9,2,4.289856433868408,0.1
1785983400.88,9,3,5.847072124481201,0.1
1785983400.89,8,0,4.653326034545898,0.1
1785983400.89,8,1,2.8574228286743164,0.1
1785983400.89,8,2,3.9826018810272217,0.1
1785983400.89,8,3,5.474817752838135,0.1
1785983400.89,9,0,4.623579978942871,0.1
1785983400.89,9,1,2.5586771965026855,0.1
1785983400.89,9,2,4.289856433868408,0.1
1785983400.89,9,3,5.883072376251221,0.1
1785983400.9,8,0,4.66032600402832,0.1
1785983400.9,8,1,2.8414227962493896,0.1
1785983400.9,8,2,4.0166015625,0.1
1785983400.9,8,3,5.479817867279053,0.1
1785983400.9,9,0,4.630579948425293,0.1
1785983400.9,9,1,2.5516772270202637,0.1
1785983400.9,9,2,4.305856227874756,0.1
1785983400.9,9,3,5.874072074890137,0.1
1785983400.91,8,0,4.6393256187438965,0.1
1785983400.91,8,1,2.8574228286743164,0.1
1785983400.91,8,2,4.0166015625,0.1
1785983400.91,8,3,5.51381778717041,0.1
1785983400.91,9,0,4.558579921722412,0.1
1785983400.91,9,1,2.532677173614502,0.1
1785983400.91,9,2,4.240856170654297,0.1
1785983400.91,9,3,5.904072284698486,0.1
